0.000000,0.000000,0.000000,-0.523599,-0.785398,-0.570796,-0.785398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002955,-0.005863,-0.002708,-0.502369,-0.640094,-0.768901,-0.715760,0.005362,-0.042482,-0.204398,-0.090388,-0.156491,0.000000
0.006266,-0.010017,-0.005742,-0.481835,-0.510577,-0.925243,-0.672519,0.010090,-0.039654,-0.382475,-0.141223,-0.280905,0.000000
0.009518,-0.013218,-0.008729,-0.462364,-0.392784,-1.050664,-0.648901,0.014241,-0.018634,-0.539089,-0.172925,-0.384798,0.000000
0.012576,-0.015791,-0.011543,-0.444022,-0.283669,-1.152740,-0.640373,0.017872,0.010154,-0.677338,-0.193713,-0.473472,0.000000
0.015395,-0.017907,-0.014142,-0.426784,-0.181431,-1.236128,-0.644083,0.021038,0.041940,-0.799556,-0.207620,-0.549997,0.000000
0.017963,-0.019670,-0.016515,-0.410592,-0.085036,-1.303830,-0.658058,0.023788,0.074241,-0.907653,-0.216954,-0.616458,0.000000
0.020286,-0.021156,-0.018665,-0.395378,0.006074,-1.357913,-0.680788,0.026165,0.105661,-1.003251,-0.223178,-0.674412,0.000000
0.022372,-0.022418,-0.020600,-0.381073,0.092161,-1.399897,-0.711007,0.028211,0.135384,-1.087751,-0.227279,-0.725088,0.000000
0.024237,-0.023498,-0.022334,-0.367611,0.173300,-1.430978,-0.747593,0.029959,0.162934,-1.162374,-0.229957,-0.769483,0.000000
0.025894,-0.024427,-0.023878,-0.354928,0.249455,-1.452147,-0.789510,0.031441,0.188044,-1.228188,-0.231716,-0.808427,0.000000
0.027360,-0.025233,-0.025247,-0.342965,0.320537,-1.464273,-0.835793,0.032686,0.210590,-1.286130,-0.232924,-0.842616,0.000000
0.028647,-0.025935,-0.026453,-0.331668,0.386445,-1.468142,-0.885551,0.033719,0.230536,-1.337027,-0.233852,-0.872639,0.000000
0.029771,-0.026551,-0.027510,-0.320986,0.447098,-1.464477,-0.937970,0.034561,0.247906,-1.381607,-0.234701,-0.899000,0.000000
0.030744,-0.027095,-0.028429,-0.310875,0.502451,-1.453954,-0.992323,0.035233,0.262762,-1.420517,-0.235621,-0.922134,0.000000
0.031579,-0.027579,-0.029221,-0.301291,0.552511,-1.437199,-1.047982,0.035752,0.275185,-1.454333,-0.236727,-0.942420,0.000000
0.032286,-0.028013,-0.029897,-0.292197,0.597333,-1.414791,-1.104417,0.036135,0.285267,-1.483570,-0.238109,-0.960194,0.000000
0.032876,-0.028406,-0.030465,-0.283557,0.637020,-1.387256,-1.161197,0.036395,0.293101,-1.508695,-0.239841,-0.975753,0.000000
0.033359,-0.028765,-0.030935,-0.275340,0.671716,-1.355068,-1.217983,0.036546,0.298773,-1.530129,-0.241988,-0.989368,0.000000
0.033742,-0.029098,-0.031315,-0.267515,0.701594,-1.318643,-1.274524,0.036599,0.302367,-1.548257,-0.244607,-1.001284,0.000000
0.034034,-0.029411,-0.031611,-0.260057,0.726843,-1.278341,-1.330644,0.036565,0.303951,-1.563433,-0.247754,-1.011728,0.000000
0.034242,-0.029710,-0.031831,-0.252940,0.747664,-1.234459,-1.386237,0.036452,0.303588,-1.575983,-0.251485,-1.020909,0.000000
0.034372,-0.030002,-0.031980,-0.246142,0.764251,-1.187236,-1.441254,0.036270,0.301324,-1.586211,-0.255858,-1.029029,0.000000
0.034430,-0.030292,-0.032064,-0.239643,0.776790,-1.136845,-1.495697,0.036025,0.297189,-1.594402,-0.260936,-1.036277,0.000000
0.034438,-0.030586,-0.032088,-0.233423,0.785445,-1.083396,-1.549615,0.035726,0.291198,-1.600829,-0.266791,-1.042841,0.000000
0.034509,-0.030891,-0.032056,-0.227466,0.790349,-1.026925,-1.603099,0.035377,0.283338,-1.605759,-0.273510,-1.048910,0.000000
0.034637,-0.031214,-0.031972,-0.221760,0.791601,-0.967391,-1.656279,0.034984,0.273571,-1.609459,-0.281202,-1.054686,0.000000
0.034819,-0.031563,-0.031840,-0.216294,0.789246,-0.904661,-1.709331,0.034552,0.261817,-1.612211,-0.290006,-1.060388,0.000000
0.035051,-0.031949,-0.031664,-0.211058,0.783273,-0.838488,-1.762480,0.034085,0.247935,-1.614317,-0.300112,-1.066270,0.000000
0.035333,-0.032386,-0.031445,-0.206042,0.773583,-0.768483,-1.816013,0.033588,0.231694,-1.616126,-0.311785,-1.072647,0.000000
0.035663,-0.032892,-0.031185,-0.201240,0.759966,-0.694059,-1.870300,0.033063,0.212723,-1.618068,-0.325415,-1.079931,0.000000
0.036041,-0.033496,-0.030885,-0.196646,0.742049,-0.614352,-1.925826,0.032515,0.190410,-1.620715,-0.341600,-1.088705,0.000000
0.036471,-0.034243,-0.030544,-0.192259,0.719210,-0.528087,-1.983240,0.031947,0.163715,-1.624910,-0.361321,-1.099873,0.000000
0.036963,-0.035210,-0.030155,-0.188082,0.690441,-0.433377,-2.043411,0.031361,0.130758,-1.632036,-0.386310,-1.114968,0.000000
0.037537,-0.036548,-0.029706,-0.184131,0.654114,-0.327490,-2.107442,0.030760,0.087812,-1.644671,-0.419946,-1.136913,0.000000
0.038245,-0.038588,-0.029165,-0.180453,0.607869,-0.207275,-2.176117,0.030147,0.026562,-1.668386,-0.469720,-1.172104,0.000000
0.039214,-0.042137,-0.028450,-0.177171,0.551077,-0.076334,-2.245199,0.029524,-0.073324,-1.716621,-0.553890,-1.236054,0.000000
0.040628,-0.048385,-0.027451,-0.174462,0.506460,0.009184,-2.281258,0.028892,-0.241726,-1.809394,-0.699372,-1.351748,0.000000
